Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,65+,All,2.5,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,SME owner,9.4,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,Not an SME owner,4.8,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,All,5.4,,,
Tab 1,Online abuse and harassment,Impersonation,,Male,All ages,All,7.8,,,
Tab 1,Online abuse and harassment,Impersonation,,Female,All ages,All,7.5,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,18 – 34,All,9.4,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,35 – 64,All,6.7,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,65+,All,7,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,All ages,SME owner,13,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,All ages,Not an SME owner,6.8,,,
Tab 1,Online abuse and harassment,Impersonation,,All persons,All ages,All,7.6,,,
Tab 1,Online abuse and harassment,Sharing without consent,,Male,All ages,All,3.5,,,
Tab 1,Online abuse and harassment,Sharing without consent,,Female,All ages,All,2.7,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,18 – 34,All,4.7,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,35 – 64,All,2.9,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,65+,All,1.2,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,All ages,SME owner,4.8,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,All ages,Not an SME owner,2.8,,,
Tab 1,Online abuse and harassment,Sharing without consent,,All persons,All ages,All,3.1,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,Male,All ages,All,2.2,,,
